Reason_1,Reason_2,Reason_3,Reason_4,Month Value,Day of the Week,Transportation Expense,Distance to Work,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours
0,0,0,1,7,1,289,36,239.554,30,0,2,1,4
0,0,0,0,7,1,118,13,239.554,31,0,1,0,0
0,0,0,1,7,2,179,51,239.554,31,0,0,0,2
1,0,0,0,7,3,279,5,239.554,24,0,2,0,4
0,0,0,1,7,3,289,36,239.554,30,0,2,1,2
0,0,0,1,7,4,179,51,239.554,31,0,0,0,2
0,0,0,1,7,4,361,52,239.554,27,0,1,4,8
0,0,0,1,7,4,260,50,239.554,23,0,4,0,4
0,0,1,0,7,0,155,12,239.554,25,0,2,0,40
0,0,0,1,7,0,235,11,239.554,29,1,1,1,8
1,0,0,0,7,0,260,50,239.554,23,0,4,0,8
1,0,0,0,7,1,260,50,239.554,23,0,4,0,8
1,0,0,0,7,2,260,50,239.554,23,0,4,0,8
1,0,0,0,7,2,179,51,239.554,31,0,0,0,1
0,0,0,1,7,2,179,51,239.554,31,0,0,0,4
1,0,0,0,7,4,246,25,239.554,23,0,0,0,8
0,0,0,1,7,4,179,51,239.554,31,0,0,0,2
0,0,1,0,7,0,179,51,239.554,31,0,0,0,8
1,0,0,0,7,3,189,29,239.554,25,0,2,2,8
0,0,0,1,8,2,248,25,205.917,32,0,2,1,2
1,0,0,0,8,2,330,16,205.917,25,1,0,0,8
1,0,0,0,8,0,179,51,205.917,31,0,0,0,1
1,0,0,0,8,0,361,52,205.917,27,0,1,4,40
0,0,0,1,8,4,260,50,205.917,23,0,4,0,4
0,0,1,0,8,0,289,36,205.917,30,0,2,1,8
0,0,0,1,8,0,361,52,205.917,27,0,1,4,7
0,0,0,1,8,1,289,36,205.917,30,0,2,1,1
0,0,0,1,8,2,157,27,205.917,22,0,0,0,4
0,0,1,0,8,2,289,36,205.917,30,0,2,1,8
0,0,0,1,8,4,179,51,205.917,31,0,0,0,2
0,0,1,0,8,0,179,51,205.917,31,0,0,0,8
0,0,1,0,8,3,235,29,205.917,33,0,1,5,8
0,0,0,1,8,3,235,11,205.917,29,1,1,1,4
0,0,1,0,8,0,235,29,205.917,33,0,1,5,8
0,0,0,1,8,0,179,51,205.917,31,0,0,0,2
0,0,0,1,8,0,361,52,205.917,27,0,1,4,1
0,0,0,1,8,1,289,36,205.917,30,0,2,1,8
1,0,0,0,8,3,291,50,205.917,23,0,0,0,4
0,0,0,1,8,4,235,29,205.917,33,0,1,5,8
0,0,0,1,8,4,260,50,205.917,23,0,4,0,4
0,0,0,1,9,1,184,42,241.476,21,0,0,0,2
0,0,0,1,9,0,118,10,241.476,28,0,0,0,4
0,0,0,1,9,1,179,51,241.476,31,0,0,0,4
0,0,1,0,9,1,235,20,241.476,38,0,1,0,8
0,0,0,1,9,2,155,12,241.476,25,0,2,0,2
0,0,0,1,9,6,118,10,241.476,28,0,0,0,3
0,0,0,1,9,0,179,51,241.476,31,0,0,0,3
0,0,0,1,9,3,291,31,241.476,25,0,1,1,4
0,0,0,1,9,4,260,50,241.476,23,0,4,0,8
1,0,0,0,9,0,291,31,241.476,25,0,1,1,32
0,0,0,0,9,0,260,50,241.476,23,0,4,0,0
0,0,0,0,9,0,225,26,241.476,24,0,1,2,0
0,0,0,1,9,1,225,26,241.476,24,0,1,2,2
0,0,0,1,9,1,118,10,241.476,28,0,0,0,2
0,0,0,0,9,1,289,36,241.476,30,0,2,1,0
0,0,0,0,9,1,118,13,241.476,31,0,1,0,0
0,0,1,0,9,2,225,26,241.476,24,0,1,2,3
0,0,0,1,9,2,179,51,241.476,31,0,0,0,3
0,0,0,0,9,2,369,17,241.476,25,0,3,0,0
0,0,0,1,9,4,248,25,241.476,32,0,2,1,1
0,0,0,1,9,4,179,51,241.476,31,0,0,0,3
